Loại,Giá trị chuẩn,Số cách viết,Các cách viết hiện có trong tab (dòng)
GPU,AMD Radeon 890M,2,"""AMD Radeon 890M Graphics"" (J45) | ""AMD Radeon 890M"" (N154)"
GPU,AMD Radeon Graphics,8,"""AMD Radeon Graphics"" (N94) | ""Radeon"" (J5) | ""AMD Radeon™ Graphics"" (J48) | ""AMD Radeon"" (J80) | ""AMD Radeon RX 7600S 8GB GDDR6, up to 95W(SmartShift)"" (J89) | ""AMD Radeon™ RX 7600S 8GB GDDR6"" (J95) | ""AMD Radeon RX 6800S 8GB GDDR6"" (J97) | ""AMD Radeon™ RX 6700S"" (J101)"
GPU,AMD Radeon RX Vega 10,2,"""AMD Radeon™ RX Vega 10 Graphics"" (J57) | ""AMD Radeon RX Vega 10"" (N136)"
GPU,AMD Radeon Vega 3,1,"""AMD Radeon Vega 3 Graphics"" (J102)"
GPU,AMD Radeon Vega 7,3,"""AMD Radeon RX Graphics Vega 7"" (J62) | ""AMD Radeon™ Vega 7 Graphics"" (J100) | ""AMD Radeon Vega 7"" (N144)"
GPU,GT 740M,2,"""NVIDIA GeForce GT 740M"" (J59) | ""GT 740M"" (N141)"
GPU,GTX 1650,6,"""GTX 1650"" (N206) | ""NVIDIA GeForce GTX 1650 4GB GDDR6"" (J93) | ""Geforce GTX 1650 4GB"" (J91) | ""NVIDIA GeForce® GTX 1650 4GB GDDR6 (Boost Clock: 1615MHz, 50W)"" (J98) | ""NVIDIA GeForce GTX 1650, 4GB GDDR6"" (J99) | ""NVIDIA GeForce GTX 1650 4GB GDDR6 + AMD Radeon™ Graphics"" (J103)"
GPU,GTX 1650Ti,2,"""GTX 1650Ti"" (N181) | ""NVIDIA GeForce GTX 1650 Ti (4GB of GDDR6 SDRAM, Bus Width : 128-bit) ; AMD Radeon Graphics"" (J105)"
GPU,GTX 1660,1,"""Gtx 1660"" (J60)"
GPU,GTX 1660Ti,1,"""GTX 1660Ti"" (N204)"
GPU,GTX 960M,2,"""Nvidia GeForce GTX 960M"" (J58) | ""GTX 960M"" (N140)"
GPU,GeForce 940MX,1,"""GeForce 940MX"" (N139)"
GPU,Intel Arc Graphics,3,"""Intel Arc Graphics"" (N180) | ""Intel® Arc Graphics"" (J26) | ""Intel® Arc™ Graphics"" (J92)"
GPU,Intel Arc Graphics 140V,1,"""Intel Arc Graphics 140V"" (N105)"
GPU,Intel Graphics,2,"""Intel Graphics"" (N4) | ""NVIDIA / Intel Graphics"" (J74)"
GPU,Intel HD Graphics,1,"""Intel HD Graphics"" (N159)"
GPU,Intel HD Graphics 520,2,"""Intel Graphics HD 520"" (J35) | ""Intel HD Graphics 520"" (N122)"
GPU,Intel Iris Xe Graphics,4,"""Intel Iris Xe Graphics"" (N29) | ""Intel Iris Xe Graphics eligible"" (J29) | ""Intel Iris Xe"" (J47) | ""Intel Iris Xe Graphics"" (J96)"
GPU,Intel UHD Graphics,3,"""Intel UHD"" (J4) | ""Intel UHD Graphics"" (N182) | ""Intel® UHD Graphics"" (J90)"
GPU,Intel UHD Graphics 600,1,"""Intel UHD Graphics 600"" (N135)"
GPU,Intel UHD Graphics 605,1,"""Intel UHD Graphics 605"" (N72)"
GPU,Intel UHD Graphics 620,1,"""Intel UHD Graphics 620"" (N76)"
GPU,MX 130,1,"""MX 130"" (N160)"
GPU,MX 330,1,"""MX 330"" (N74)"
GPU,MX 550,3,"""NVIDIA GeForce MX550 2GB GDDR6 / Intel Iris Xe Graphics"" (J61) | ""NVIDIA® GeForce® MX550 2GB GDDR6"" (J106) | ""MX 550"" (N143)"
GPU,MX 570A,4,"""NVIDIA GeForce MX570A 2GB GDDR6 Intel Iris Xe Graphics"" (J52) | ""Nvidia GeForce MX570A 2GB / Intel Graphics"" (J63) | ""MX570A"" (J115) | ""MX 570A"" (N129)"
GPU,Qualcomm Adreno,3,"""Qualcomm Adreno GPU"" (J87) | ""Qualcomm Adreno"" (N179) | ""Adreno"" (J119)"
GPU,RTX 2050,4,"""RTX 2050"" (N173) | ""NVIDIA GeForce RTX 2050 4 GB GDDR6"" (J108) | ""NVIDIA GeForce RTX 2050 4GB GDDR6"" (J112) | ""NVIDIA® GeForce RTX™ 2050 4GB GDDR6, Boost Clock 1575MHz, TGP 65W"" (J113)"
GPU,RTX 2060,1,"""RTX 2060"" (N73)"
GPU,RTX 3050,1,"""RTX 3050"" (N223)"
GPU,RTX 3050Ti,3,"""NVIDIA GeForce RTX 3050 Ti, 4GB GDDR6 Card tích hợp - AMD Radeon Graphics"" (J107) | ""RTX 3050 Ti"" (J116) | ""RTX 3050Ti"" (N218)"
GPU,RTX 3060,1,"""RTX 3060"" (N174)"
GPU,RTX 3070,1,"""RTX 3070"" (N134)"
GPU,RTX 3080Ti,1,"""RTX 3080Ti"" (N133)"
GPU,RTX 4050,1,"""RTX 4050"" (N221)"
GPU,RTX 4060,1,"""RTX 4060"" (N199)"
GPU,RTX 4070,2,"""RTX 4070"" (J76) | ""NVIDIA GeForce RTX 4070 (321 AI TOPs) 8GB GDDR6 AMD Radeon Graphics"" (J104)"
GPU,RTX 4080,2,"""RTX 4080"" (J23) | ""NVIDIA GeForce RTX 4080"" (N67)"
GPU,RTX 4090,1,"""RTX 4090"" (N132)"
GPU,RTX 5050,1,"""RTX 5050"" (N222)"
GPU,RTX 5060,1,"""RTX 5060"" (N225)"
GPU,RTX 5070,1,"""RTX 5070"" (N224)"
GPU,RTX 5070Ti,1,"""RTX 5070Ti"" (N197)"
GPU,RTX 5080,1,"""RTX 5080"" (N211)"
GPU,RTX 5090,1,"""RTX 5090"" (N66)"
GPU,RX 560X,1,"""RX 560X"" (N90)"
GPU,RX 640,1,"""RX 640"" (N183)"
